COUNTY_CODE,COUNTY_NAME,DISTRICT_CODE,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,SUBGROUP,2017 Adjusted Cohort Grad Rate,2016 Adjusted Cohort Grad Rate,2015 Adjusted Cohort Grad Rate,2014 Adjusted Cohort Grad Rate
05,BURLINGTON,0610,BURLINGTON CO VOCATIONAL,030,BURLINGTON COUNTY INST OF TECH - Westhampton,S,96.74,98.32,97.02,95.40
05,BURLINGTON,0610,BURLINGTON CO VOCATIONAL,040,BURLINGTON COUNTY INST OF TECH - Medford,S,97.28,95.52,96.63,94.67
05,BURLINGTON,0610,BURLINGTON CO VOCATIONAL,999,,D,96.96,97.19,96.86,95.10
05,BURLINGTON,0620,BURLINGTON TWP,010,Burlington Township High School,S,96.78,95.48,95.28,96.81
05,BURLINGTON,0620,BURLINGTON TWP,999,,D,96.78,95.48,95.28,96.81
05,BURLINGTON,0840,CINNAMINSON TWP,030,CINNAMINSON HIGH SCHOOL,S,95.22,96.37,96.09,97.73
05,BURLINGTON,0840,CINNAMINSON TWP,999,,D,95.22,96.37,96.09,97.73
05,BURLINGTON,1060,DELRAN TWP,005,Delran High School,S,91.06,95.41,92.31,92.74
05,BURLINGTON,1060,DELRAN TWP,999,,D,91.06,95.41,92.31,92.74
05,BURLINGTON,1520,FLORENCE TWP,050,Florence Township Memorial High School,S,92.98,92.92,89.52,86.54
05,BURLINGTON,1520,FLORENCE TWP,999,,D,92.98,92.92,89.52,86.54
05,BURLINGTON,2610,LENAPE REGIONAL,040,Cherokee High School,S,95.75,96.11,96.42,96.60
05,BURLINGTON,2610,LENAPE REGIONAL,050,Lenape High School,S,94.25,94.64,92.76,95.78
05,BURLINGTON,2610,LENAPE REGIONAL,060,Shawnee High School,S,98.46,97.73,97.64,97.64
05,BURLINGTON,2610,LENAPE REGIONAL,070,Seneca High School,S,95.93,97.25,95.36,95.56
05,BURLINGTON,2610,LENAPE REGIONAL,999,,D,96.01,96.24,95.49,96.43
05,BURLINGTON,3010,MAPLE SHADE TWP,030,Maple Shade High School,S,86.33,91.72,91.73,92.26
05,BURLINGTON,3010,MAPLE SHADE TWP,999,,D,86.33,91.72,91.73,92.26
05,BURLINGTON,3360,MOORESTOWN TWP,040,Moorestown High School,S,99.43,98.44,96.83,95.94
05,BURLINGTON,3360,MOORESTOWN TWP,999,,D,99.43,98.44,96.83,95.94
05,BURLINGTON,3690,NORTHERN BURLINGTON REG,050,Northern Burlington County Regional High School,S,94.14,94.72,93.10,94.74
05,BURLINGTON,3690,NORTHERN BURLINGTON REG,999,,D,94.14,94.72,93.10,94.74
05,BURLINGTON,3920,PALMYRA BORO,050,Palmyra High School,S,88.16,88.89,87.34,82.29
05,BURLINGTON,3920,PALMYRA BORO,999,,D,88.16,88.89,87.34,82.29
05,BURLINGTON,4050,PEMBERTON TWP,055,Pemberton Township High School,S,86.38,86.14,89.72,84.27
05,BURLINGTON,4050,PEMBERTON TWP,999,,D,86.38,86.14,89.72,84.27
05,BURLINGTON,4320,RANCOCAS VALLEY REGIONAL,050,Rancocas Valley Regional High School,S,87.86,90.69,89.76,91.42
05,BURLINGTON,4320,RANCOCAS VALLEY REGIONAL,999,,D,87.86,90.69,89.76,91.42
05,BURLINGTON,4450,RIVERSIDE TWP,050,RIVERSIDE HIGH SCHOOL,S,88.00,80.65,85.16,89.06
05,BURLINGTON,4450,RIVERSIDE TWP,999,,D,88.00,80.65,85.16,89.06
05,BURLINGTON,5805,WILLINGBORO TWP,053,WILLINGBORO HIGH SCHOOL,S,89.02,78.90,77.78,73.86
05,BURLINGTON,5805,WILLINGBORO TWP,999,,D,89.02,78.90,77.78,73.86
07,CAMDEN,0150,AUDUBON BORO,010,Audubon Junior/Senior High School,S,93.33,93.55,91.67,92.31
07,CAMDEN,0150,AUDUBON BORO,999,,D,93.33,93.55,91.67,92.31
07,CAMDEN,0390,BLACK HORSE PIKE REGIONAL,020,Highland Regional High School,S,92.94,86.55,86.05,88.65
07,CAMDEN,0390,BLACK HORSE PIKE REGIONAL,030,Timber Creek Regional High School,S,89.69,89.07,92.47,91.24
07,CAMDEN,0390,BLACK HORSE PIKE REGIONAL,050,Triton Regional High School,S,89.44,91.95,86.43,84.44
07,CAMDEN,0390,BLACK HORSE PIKE REGIONAL,999,,D,90.75,89.20,88.41,88.08
07,CAMDEN,0680,CAMDEN CITY,029,Dr. Charles E. Brimm Medical Arts High School,S,100.00,100.00,98.04,95.92
07,CAMDEN,0680,CAMDEN CITY,030,Camden High School,S,53.82,61.09,46.61,52.35
07,CAMDEN,0680,CAMDEN CITY,040,Woodrow Wilson High School,S,66.26,66.42,63.39,60.46
07,CAMDEN,0680,CAMDEN CITY,245,Creative Arts Morgan Village Academy,S,91.53,95.12,94.44,90.91
07,CAMDEN,0680,CAMDEN CITY,305,Camden Big Picture Learning Academy,S,73.68,-,-,-
07,CAMDEN,0680,CAMDEN CITY,999,,D,66.01,69.57,63.57,61.70
07,CAMDEN,0700,CAMDEN COUNTY VOCATIONAL,030,Camden County Technical School-Pennsauken,S,93.84,95.98,92.90,91.71
07,CAMDEN,0700,CAMDEN COUNTY VOCATIONAL,040,Camden County Technical School-GTC,S,97.22,94.94,96.48,93.95
07,CAMDEN,0700,CAMDEN COUNTY VOCATIONAL,999,,D,96.17,95.45,94.84,92.89
07,CAMDEN,0800,CHERRY HILL TWP,030,Cherry Hill High School East,S,94.90,98.01,95.72,94.94
07,CAMDEN,0800,CHERRY HILL TWP,040,Cherry Hill High School West,S,91.00,88.41,92.02,88.92
07,CAMDEN,0800,CHERRY HILL TWP,060,Alternative High School,S,83.33,,,
07,CAMDEN,0800,CHERRY HILL TWP,999,,D,93.20,94.00,94.26,92.35
07,CAMDEN,0940,COLLINGSWOOD BORO,030,Collingswood High School,S,90.55,88.89,82.32,82.87
07,CAMDEN,0940,COLLINGSWOOD BORO,999,,D,90.55,88.89,82.32,82.87
07,CAMDEN,1255,EASTERN CAMDEN COUNTY REG,050,Eastern Regional High School,S,94.95,94.38,94.04,92.22
07,CAMDEN,1255,EASTERN CAMDEN COUNTY REG,999,,D,94.95,94.38,94.04,92.22
07,CAMDEN,1770,GLOUCESTER CITY,050,Gloucester City Jr. Sr. High School,S,89.86,94.04,82.47,86.21
07,CAMDEN,1770,GLOUCESTER CITY,999,,D,89.86,94.04,82.47,86.21
07,CAMDEN,1880,HADDON HEIGHTS BORO,050,HADDON HEIGHTS JR-SR HS,S,89.17,93.41,89.95,86.27
07,CAMDEN,1880,HADDON HEIGHTS BORO,999,,D,89.17,93.41,89.95,86.27
07,CAMDEN,1890,HADDON TWP,050,HADDON TOWNSHIP HIGH SCHOOL,S,96.34,94.48,93.05,91.37
07,CAMDEN,1890,HADDON TWP,999,,D,96.34,94.48,93.05,91.37
07,CAMDEN,1900,HADDONFIELD BORO,050,Haddonfield Memorial High School,S,98.06,96.94,98.96,95.79
07,CAMDEN,1900,HADDONFIELD BORO,999,,D,98.06,96.94,98.96,95.79
07,CAMDEN,2670,LINDENWOLD BORO,005,Lindenwold High School,S,75.16,77.22,76.43,77.54
07,CAMDEN,2670,LINDENWOLD BORO,999,,D,75.16,77.22,76.43,77.54
07,CAMDEN,4060,PENNSAUKEN TWP,050,PENNSAUKEN HIGH SCHOOL,S,83.67,84.97,77.67,74.72
07,CAMDEN,4060,PENNSAUKEN TWP,999,,D,83.67,84.97,77.67,74.72
07,CAMDEN,4110,PINE HILL BORO,010,Overbrook Senior High School,S,86.53,93.98,94.57,84.65
07,CAMDEN,4110,PINE HILL BORO,999,,D,86.53,93.98,94.57,84.65
07,CAMDEN,5035,STERLING HIGH SCHOOL DIST,050,Sterling High School,S,89.60,96.30,95.42,91.63
07,CAMDEN,5035,STERLING HIGH SCHOOL DIST,999,,D,89.60,96.30,95.42,91.63
07,CAMDEN,5820,WINSLOW TWP,010,Winslow Township High School,S,76.74,78.83,79.11,81.41
07,CAMDEN,5820,WINSLOW TWP,999,,D,76.74,78.83,79.11,81.41
09,CAPE MAY,0720,CAPE MAY CO VOCATIONAL,030,Cape May County Technical High SChool,S,97.95,97.12,93.71,86.75
09,CAPE MAY,0720,CAPE MAY CO VOCATIONAL,999,,D,97.95,97.12,93.71,86.75
09,CAPE MAY,2820,LOWER CAPE MAY REGIONAL,050,Lower Cape May Regional High School,S,78.88,81.17,80.24,78.76
09,CAPE MAY,2820,LOWER CAPE MAY REGIONAL,999,,D,78.88,81.17,80.24,78.76
09,CAPE MAY,3130,MIDDLE TWP,050,Middle Township High School,S,81.52,81.34,80.73,80.16
09,CAPE MAY,3130,MIDDLE TWP,999,,D,81.52,81.34,80.73,80.16
09,CAPE MAY,3780,OCEAN CITY,050,Ocean City High School,S,96.32,95.22,96.87,95.30
09,CAPE MAY,3780,OCEAN CITY,999,,D,96.32,95.22,96.87,95.30
09,CAPE MAY,5790,WILDWOOD CITY,050,WILDWOOD HIGH SCHOOL,S,75.90,79.10,77.11,68.83
09,CAPE MAY,5790,WILDWOOD CITY,999,,D,75.90,79.10,77.11,68.83
11,CUMBERLAND,0540,BRIDGETON CITY,020,Bridgeton High School,S,73.19,78.78,76.33,71.01
11,CUMBERLAND,0540,BRIDGETON CITY,999,,D,73.19,78.78,76.33,71.01
11,CUMBERLAND,0995,CUMBERLAND CO VOCATIONAL,030,Cumberland County Technical Education Center,S,-,,,
11,CUMBERLAND,0995,CUMBERLAND CO VOCATIONAL,999,,D,-,,,
11,CUMBERLAND,0997,CUMBERLAND REGIONAL,030,Cumberland Regional High School,S,88.02,86.53,89.86,89.67
11,CUMBERLAND,0997,CUMBERLAND REGIONAL,999,,D,88.02,86.53,89.86,89.67
11,CUMBERLAND,3230,MILLVILLE CITY,050,MILLVILLE SENIOR HIGH SCHOOL,S,87.29,90.77,90.22,86.17
11,CUMBERLAND,3230,MILLVILLE CITY,060,MEMORIAL HIGH SCHOOL,S,0.00,,,
11,CUMBERLAND,3230,MILLVILLE CITY,999,,D,85.34,90.77,90.22,86.17
11,CUMBERLAND,5390,VINELAND CITY,050,Vineland Senior High School,S,78.78,77.50,77.98,78.28
11,CUMBERLAND,5390,VINELAND CITY,999,,D,78.78,76.61,75.89,76.57
13,ESSEX,0250,BELLEVILLE TOWN,020,Belleville High School,S,85.06,85.16,91.96,76.40
13,ESSEX,0250,BELLEVILLE TOWN,999,,D,85.06,85.16,91.96,76.40
13,ESSEX,0410,BLOOMFIELD TWP,020,BLOOMFIELD HIGH SCHOOL,S,91.27,89.80,89.98,89.47
13,ESSEX,0410,BLOOMFIELD TWP,999,,D,91.27,89.80,89.98,89.47
13,ESSEX,0660,CALDWELL-WEST CALDWELL,050,JAMES CALDWELL HIGH SCHOOL,S,94.03,96.02,97.04,96.10
13,ESSEX,0660,CALDWELL-WEST CALDWELL,999,,D,94.03,96.02,97.04,96.10
13,ESSEX,0760,CEDAR GROVE TWP,050,CEDAR GROVE HIGH SCHOOL,S,98.39,96.58,98.25,99.23
13,ESSEX,0760,CEDAR GROVE TWP,999,,D,98.39,96.58,98.25,99.23
13,ESSEX,1210,EAST ORANGE,030,East Orange STEM Academy High School,S,95.70,96.15,100.00,93.75
13,ESSEX,1210,EAST ORANGE,035,East Orange Campus High School,S,67.92,64.07,66.33,63.39
13,ESSEX,1210,EAST ORANGE,150,Cicely L. Tyson Community Middle/High School,S,97.22,99.01,100.00,94.12
13,ESSEX,1210,EAST ORANGE,999,,D,76.72,74.77,75.58,71.87
13,ESSEX,1390,ESSEX CO VOC-TECH,020,Bloomfield Tech,S,98.35,98.23,98.23,99.21
13,ESSEX,1390,ESSEX CO VOC-TECH,050,North 13th St Tech,S,96.89,98.79,97.33,95.97
13,ESSEX,1390,ESSEX CO VOC-TECH,070,Newark Tech,S,96.27,96.45,93.30,95.65
13,ESSEX,1390,ESSEX CO VOC-TECH,080,West Caldwell Tech,S,92.86,92.86,90.16,84.44
13,ESSEX,1390,ESSEX CO VOC-TECH,999,,D,96.59,97.18,95.23,95.64
13,ESSEX,1750,GLEN RIDGE BORO,050,Glen Ridge High School,S,97.90,96.92,97.76,97.32
13,ESSEX,1750,GLEN RIDGE BORO,999,,D,97.90,96.92,97.76,97.32
13,ESSEX,2330,IRVINGTON TOWNSHIP,050,IRVINGTON HIGH SCHOOL,S,73.08,70.72,70.33,62.31
13,ESSEX,2330,IRVINGTON TOWNSHIP,999,,D,73.08,70.72,70.33,62.31
13,ESSEX,2730,LIVINGSTON TWP,050,Livingston High School,S,95.88,95.57,97.01,97.85
13,ESSEX,2730,LIVINGSTON TWP,999,,D,95.88,95.57,97.01,97.85
13,ESSEX,3190,MILLBURN TWP,050,Millburn High School,S,98.07,97.20,98.32,99.51
13,ESSEX,3190,MILLBURN TWP,999,,D,98.07,97.20,98.32,99.51
13,ESSEX,3310,MONTCLAIR TOWN,050,Montclair High School,S,93.46,92.11,91.42,91.13
13,ESSEX,3310,MONTCLAIR TOWN,999,,D,93.46,92.11,91.42,91.13
13,ESSEX,3570,NEWARK CITY,010,ARTS HIGH SCHOOL,S,90.71,90.91,90.20,96.97
13,ESSEX,3570,NEWARK CITY,020,BARRINGER ARTS HIGH SCHOOL,S,61.21,59.91,35.69,52.35
13,ESSEX,3570,NEWARK CITY,030,CENTRAL HIGH SCHOOL,S,75.49,80.88,71.62,80.95
13,ESSEX,3570,NEWARK CITY,040,EAST SIDE HIGH SCHOOL,S,76.91,73.77,69.63,75.00
13,ESSEX,3570,NEWARK CITY,045,NEWARK VOCATIONAL HIGH SCHOOL,S,64.44,63.57,64.09,48.05
13,ESSEX,3570,NEWARK CITY,050,MALCOLM X SHABAZZ HIGH SCHOOL,S,61.18,64.84,68.87,64.25
13,ESSEX,3570,NEWARK CITY,055,SCIENCE PARK HIGH SCHOOL,S,98.40,97.42,96.32,100.00
13,ESSEX,3570,NEWARK CITY,056,Technology High School,S,94.55,96.85,91.41,93.58
13,ESSEX,3570,NEWARK CITY,057,UNIVERSITY HIGH SCHOOL,S,94.29,96.12,95.49,92.41
13,ESSEX,3570,NEWARK CITY,070,WEEQUAHIC HIGH SCHOOL,S,73.39,71.43,66.18,67.05
13,ESSEX,3570,NEWARK CITY,087,American History High School,S,90.14,87.50,93.41,90.24
13,ESSEX,3570,NEWARK CITY,304,BARD EARLY COLLEGE HIGH SCHOOL,S,87.30,95.59,86.84,-
13,ESSEX,3570,NEWARK CITY,309,Newark Early College High School,S,74.76,76.77,,
13,ESSEX,3570,NEWARK CITY,312,Barringer Academy of S.T.E.A.M.,S,73.91,67.54,80.98,
13,ESSEX,3570,NEWARK CITY,999,,D,78.48,73.47,69.59,68.63
13,ESSEX,3750,NUTLEY TOWN,050,NUTLEY HIGH SCHOOL,S,95.47,94.57,95.38,92.81
13,ESSEX,3750,NUTLEY TOWN,999,,D,95.47,94.57,95.38,92.81
13,ESSEX,3880,CITY OF ORANGE TWP,050,ORANGE HIGH SCHOOL,S,91.19,91.04,86.58,86.17
13,ESSEX,3880,CITY OF ORANGE TWP,999,,D,91.19,90.68,83.23,86.17
13,ESSEX,4900,SOUTH ORANGE-MAPLEWOOD,030,Columbia High School,S,90.40,88.84,90.78,92.95
13,ESSEX,4900,SOUTH ORANGE-MAPLEWOOD,999,,D,90.40,88.84,90.78,92.95
13,ESSEX,5370,VERONA BORO,050,Verona High School,S,96.79,97.39,100.00,98.72
13,ESSEX,5370,VERONA BORO,999,,D,96.79,97.39,100.00,98.72
